"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","1","1.0","0.0","1.0","0.0"
"2","1","","Alvin Kamara","NO","RB2","9","2","2","2.0","0.0","2.0","0.0"
"3","1","","Ezekiel Elliott","DAL","RB3","8","3","4","3.5","0.5","4.0","+1.0"
"4","1","","Christian McCaffrey","CAR","RB4","7","3","5","4.0","1.0","3.0","-1.0"
"5","1","","James Conner","PIT","RB5","7","4","7","5.5","1.5","9.0","+4.0"
"6","2","","Todd Gurley","LAR","RB6","9","6","10","8.0","2.0","11.0","+5.0"
"7","2","","DeAndre Hopkins","HOU","WR1","10","7","13","10.0","3.0","5.0","-2.0"
"8","2","","Nick Chubb","CLE","RB7","7","8","12","10.0","2.0","15.0","+7.0"
"9","2","","Davante Adams","GB","WR2","11","8","14","11.0","3.0","8.0","-1.0"
"10","2","","Dalvin Cook","MIN","RB8","12","11","13","12.0","1.0","20.0","+10.0"
"11","2","","Le'Veon Bell","NYJ","RB9","4","6","19","12.5","6.5","7.0","-4.0"
"12","3","","Derrick Henry","TEN","RB10","11","12","17","14.5","2.5","36.0","+24.0"
"13","3","","Julio Jones","ATL","WR3","9","10","22","16.0","6.0","12.0","-1.0"
"14","3","","Odell Beckham Jr.","CLE","WR4","7","11","21","16.0","5.0","14.0","0.0"
"15","3","","Travis Kelce","KC","TE1","12","15","17","16.0","1.0","19.0","+4.0"
"16","3","","Melvin Gordon","LAC","RB11","12","14","19","16.5","2.5","23.0","+7.0"
"17","3","","JuJu Smith-Schuster","PIT","WR5","7","9","25","17.0","8.0","18.0","+1.0"
"18","3","","David Johnson","ARI","RB12","12","5","31","18.0","13.0","6.0","-12.0"
"19","3","","Marlon Mack","IND","RB13","6","16","23","19.5","3.5","31.0","+12.0"
"20","4","","Michael Thomas","NO","WR6","9","18","31","24.5","6.5","10.0","-10.0"
"21","4","","Leonard Fournette","JAC","RB14","10","24","27","25.5","1.5","24.0","+3.0"
"22","4","","Patrick Mahomes","KC","QB1","12","15","37","26.0","11.0","16.0","-6.0"
"23","4","","Tyreek Hill","KC","WR7","12","16","36","26.0","10.0","17.0","-6.0"
"24","4","","Mike Evans","TB","WR8","7","22","30","26.0","4.0","21.0","-3.0"
"25","4","","Joe Mixon","CIN","RB15","9","9","44","26.5","17.5","13.0","-12.0"
"26","4","","Aaron Jones","GB","RB16","11","20","33","26.5","6.5","30.0","+4.0"
"27","4","","George Kittle","SF","TE2","4","20","39","29.5","9.5","32.0","+5.0"
"28","4","","Kerryon Johnson","DET","RB17","5","24","38","31.0","7.0","27.0","-1.0"
"29","4","","T.Y. Hilton","IND","WR9","6","23","40","31.5","8.5","29.0","0.0"
"30","4","","Keenan Allen","LAC","WR10","12","25","38","31.5","6.5","28.0","-2.0"
"31","5","","Zach Ertz","PHI","TE3","10","21","45","33.0","12.0","33.0","+2.0"
"32","5","","Amari Cooper","DAL","WR11","8","28","44","36.0","8.0","34.0","+2.0"
"33","5","","Adam Thielen","MIN","WR12","12","30","42","36.0","6.0","26.0","-7.0"
"34","5","","Josh Jacobs","OAK","RB18","6","26","47","36.5","10.5","37.0","+3.0"
"35","5","","Chris Carson","SEA","RB19","11","32","41","36.5","4.5","41.0","+6.0"
"36","5","","Devonta Freeman","ATL","RB20","9","29","45","37.0","8.0","35.0","-1.0"
"37","5","","David Montgomery","CHI","RB21","6","29","48","38.5","9.5","43.0","+6.0"
"38","5","","Damien Williams","KC","RB22","12","18","63","40.5","22.5","25.0","-13.0"
"39","5","","Aaron Rodgers","GB","QB2","11","35","46","40.5","5.5","51.0","+12.0"
"40","5","","Stefon Diggs","MIN","WR13","12","35","46","40.5","5.5","38.0","-2.0"
"41","5","","Tevin Coleman","SF","RB23","4","27","55","41.0","14.0","58.0","+17.0"
"42","5","","Antonio Brown","OAK","WR14","6","34","48","41.0","7.0","22.0","-20.0"
"43","5","","Deshaun Watson","HOU","QB3","10","33","53","43.0","10.0","47.0","+4.0"
"44","5","","Andrew Luck","IND","QB4","6","37","52","44.5","7.5","59.0","+15.0"
"45","5","","Kenyan Drake","MIA","RB24","5","40","49","44.5","4.5","55.0","+10.0"
"46","6","","Robert Woods","LAR","WR15","9","26","68","47.0","21.0","40.0","-6.0"
