"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","2","1.5","0.5","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","3","2.0","1.0","3.0","+1.0"
"3","1","","Alvin Kamara","NO","RB3","9","2","4","3.0","1.0","2.0","-1.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","3","4","3.5","0.5","4.0","0.0"
"5","2","","James Conner","PIT","RB5","7","5","6","5.5","0.5","9.0","+4.0"
"6","2","","DeAndre Hopkins","HOU","WR1","10","7","8","7.5","0.5","5.0","-1.0"
"7","2","","David Johnson","ARI","RB6","12","5","12","8.5","3.5","6.0","-1.0"
"8","2","","Le'Veon Bell","NYJ","RB7","4","6","11","8.5","2.5","7.0","-1.0"
"9","2","","Travis Kelce","KC","TE1","12","8","9","8.5","0.5","19.0","+10.0"
"10","2","","Davante Adams","GB","WR2","11","10","11","10.5","0.5","8.0","-2.0"
"11","2","","Nick Chubb","CLE","RB8","7","7","15","11.0","4.0","15.0","+4.0"
"12","3","","Joe Mixon","CIN","RB9","9","10","13","11.5","1.5","13.0","+1.0"
"13","3","","Odell Beckham Jr.","CLE","WR3","7","9","15","12.0","3.0","14.0","+1.0"
"14","3","","Julio Jones","ATL","WR4","9","12","14","13.0","1.0","12.0","-2.0"
"15","3","","Damien Williams","KC","RB10","12","13","17","15.0","2.0","25.0","+10.0"
"16","3","","Tyreek Hill","KC","WR5","12","17","18","17.5","0.5","17.0","+1.0"
"17","3","","Todd Gurley","LAR","RB11","9","16","20","18.0","2.0","11.0","-6.0"
"18","3","","JuJu Smith-Schuster","PIT","WR6","7","18","19","18.5","0.5","18.0","0.0"
"19","4","","Antonio Brown","OAK","WR7","6","19","23","21.0","2.0","22.0","+3.0"
"20","4","","Michael Thomas","NO","WR8","9","20","22","21.0","1.0","10.0","-10.0"
"21","4","","Mike Evans","TB","WR9","7","21","22","21.5","0.5","21.0","0.0"
"22","4","","Dalvin Cook","MIN","RB12","12","14","32","23.0","9.0","20.0","-2.0"
"23","4","","George Kittle","SF","TE2","4","23","24","23.5","0.5","32.0","+9.0"
"24","4","","Keenan Allen","LAC","WR10","12","24","28","26.0","2.0","28.0","+4.0"
"25","4","","T.Y. Hilton","IND","WR11","6","25","27","26.0","1.0","29.0","+4.0"
"26","4","","Kerryon Johnson","DET","RB13","5","25","27","26.0","1.0","27.0","+1.0"
"27","4","","Zach Ertz","PHI","TE3","10","28","29","28.5","0.5","33.0","+6.0"
"28","4","","Melvin Gordon","LAC","RB14","12","21","38","29.5","8.5","23.0","-5.0"
"29","4","","Amari Cooper","DAL","WR12","8","29","30","29.5","0.5","34.0","+5.0"
"30","4","","Josh Jacobs","OAK","RB15","6","16","44","30.0","14.0","37.0","+7.0"
"31","5","","Devonta Freeman","ATL","RB16","9","26","37","31.5","5.5","35.0","+4.0"
"32","5","","Stefon Diggs","MIN","WR13","12","31","32","31.5","0.5","38.0","+6.0"
"33","5","","Marlon Mack","IND","RB17","6","26","41","33.5","7.5","31.0","-2.0"
"34","5","","Adam Thielen","MIN","WR14","12","31","37","34.0","3.0","26.0","-8.0"
"35","5","","Brandin Cooks","LAR","WR15","9","34","35","34.5","0.5","39.0","+4.0"
"36","5","","Derrick Henry","TEN","RB18","11","34","36","35.0","1.0","36.0","0.0"
"37","5","","Leonard Fournette","JAC","RB19","10","33","39","36.0","3.0","24.0","-13.0"
"38","5","","Julian Edelman","NE","WR16","10","38","40","39.0","1.0","44.0","+6.0"
"39","5","","Aaron Jones","GB","RB20","11","33","46","39.5","6.5","30.0","-9.0"
