"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Ezekiel Elliott","DAL","RB1","8","1","2","1.5","0.5","4.0","+3.0"
"2","1","","Saquon Barkley","NYG","RB2","11","1","2","1.5","0.5","1.0","-1.0"
"3","1","","Christian McCaffrey","CAR","RB3","7","3","3","3.0","0.0","3.0","0.0"
"4","1","","Alvin Kamara","NO","RB4","9","4","4","4.0","0.0","2.0","-2.0"
"5","2","","David Johnson","ARI","RB5","12","5","6","5.5","0.5","6.0","+1.0"
"6","2","","Joe Mixon","CIN","RB6","9","5","6","5.5","0.5","13.0","+7.0"
"7","2","","Travis Kelce","KC","TE1","12","8","8","8.0","0.0","19.0","+12.0"
"8","2","","Davante Adams","GB","WR1","11","7","11","9.0","2.0","8.0","0.0"
"9","3","","Odell Beckham Jr.","CLE","WR2","7","9","11","10.0","1.0","14.0","+5.0"
"10","3","","James Conner","PIT","RB7","7","12","13","12.5","0.5","9.0","-1.0"
"11","3","","DeAndre Hopkins","HOU","WR3","10","7","19","13.0","6.0","5.0","-6.0"
"12","3","","Julio Jones","ATL","WR4","9","9","18","13.5","4.5","12.0","0.0"
"13","3","","Nick Chubb","CLE","RB8","7","12","16","14.0","2.0","15.0","+2.0"
"14","3","","Todd Gurley","LAR","RB9","9","13","15","14.0","1.0","11.0","-3.0"
"15","3","","Tyreek Hill","KC","WR5","12","14","14","14.0","0.0","17.0","+2.0"
"16","3","","JuJu Smith-Schuster","PIT","WR6","7","17","17","17.0","0.0","18.0","+2.0"
"17","4","","Michael Thomas","NO","WR7","9","18","21","19.5","1.5","10.0","-7.0"
"18","4","","Dalvin Cook","MIN","RB10","12","16","25","20.5","4.5","20.0","+2.0"
"19","4","","Mike Evans","TB","WR8","7","19","22","20.5","1.5","21.0","+2.0"
"20","4","","Le'Veon Bell","NYJ","RB11","4","10","36","23.0","13.0","7.0","-13.0"
"21","4","","T.Y. Hilton","IND","WR9","6","22","24","23.0","1.0","29.0","+8.0"
"22","4","","George Kittle","SF","TE2","4","23","23","23.0","0.0","32.0","+10.0"
"23","4","","Antonio Brown","OAK","WR10","6","21","29","25.0","4.0","22.0","-1.0"
"24","4","","Keenan Allen","LAC","WR11","12","24","29","26.5","2.5","28.0","+4.0"
"25","4","","Aaron Jones","GB","RB12","11","15","41","28.0","13.0","30.0","+5.0"
"26","4","","Kerryon Johnson","DET","RB13","5","25","32","28.5","3.5","27.0","+1.0"
"27","4","","Amari Cooper","DAL","WR12","8","27","30","28.5","1.5","34.0","+7.0"
"28","4","","Derrick Henry","TEN","RB14","11","26","32","29.0","3.0","36.0","+8.0"
"29","5","","Marlon Mack","IND","RB15","6","20","41","30.5","10.5","31.0","+2.0"
"30","5","","Damien Williams","KC","RB16","12","26","38","32.0","6.0","25.0","-5.0"
"31","5","","Stefon Diggs","MIN","WR13","12","30","34","32.0","2.0","38.0","+7.0"
"32","5","","Adam Thielen","MIN","WR14","12","31","34","32.5","1.5","26.0","-6.0"
"33","5","","Devonta Freeman","ATL","RB17","9","20","46","33.0","13.0","35.0","+2.0"
"34","5","","Leonard Fournette","JAC","RB18","10","33","36","34.5","1.5","24.0","-10.0"
"35","5","","Robert Woods","LAR","WR15","9","37","40","38.5","1.5","40.0","+5.0"
"36","5","","Julian Edelman","NE","WR16","10","39","39","39.0","0.0","44.0","+8.0"
"37","5","","Chris Godwin","TB","WR17","7","31","49","40.0","9.0","50.0","+13.0"
"38","5","","Zach Ertz","PHI","TE3","10","28","53","40.5","12.5","33.0","-5.0"
"39","5","","Patrick Mahomes","KC","QB1","12","35","47","41.0","6.0","16.0","-23.0"
"40","5","","Kenny Golladay","DET","WR18","5","37","45","41.0","4.0","45.0","+5.0"
"41","5","","Josh Jacobs","OAK","RB19","6","38","44","41.0","3.0","37.0","-4.0"
"42","5","","Brandin Cooks","LAR","WR19","9","40","42","41.0","1.0","39.0","-3.0"
"43","6","","Sony Michel","NE","RB20","10","43","43","43.0","0.0","52.0","+9.0"
"44","6","","Tyler Lockett","SEA","WR20","11","42","45","43.5","1.5","53.0","+9.0"
"45","6","","Melvin Gordon","LAC","RB21","12","10","83","46.5","36.5","23.0","-22.0"
"46","6","","Deshaun Watson","HOU","QB2","10","35","59","47.0","12.0","47.0","+1.0"
"47","6","","Hunter Henry","LAC","TE4","12","28","69","48.5","20.5","70.0","+23.0"
"48","6","","Lamar Miller","HOU","RB22","10","44","56","50.0","6.0","60.0","+12.0"
"49","6","","Andrew Luck","IND","QB3","6","47","57","52.0","5.0","59.0","+10.0"
"50","6","","D.J. Moore","CAR","WR21","7","52","52","52.0","0.0","66.0","+16.0"
"51","6","","Tyler Boyd","CIN","WR22","9","48","60","54.0","6.0","57.0","+6.0"
"52","6","","Mark Ingram","BAL","RB23","8","54","54","54.0","0.0","46.0","-6.0"
"53","6","","Chris Carson","SEA","RB24","11","55","56","55.5","0.5","41.0","-12.0"
"54","6","","A.J. Green","CIN","WR23","9","27","85","56.0","29.0","48.0","-6.0"
"55","6","","Calvin Ridley","ATL","WR24","9","49","63","56.0","7.0","54.0","-1.0"
"56","6","","Alshon Jeffery","PHI","WR25","10","50","63","56.5","6.5","69.0","+13.0"
"57","6","","Latavius Murray","NO","RB25","9","51","62","56.5","5.5","87.0","+30.0"
"58","7","","Robby Anderson","NYJ","WR26","4","50","65","57.5","7.5","74.0","+16.0"
"59","7","","David Montgomery","CHI","RB26","6","33","83","58.0","25.0","43.0","-16.0"
"60","7","","Aaron Rodgers","GB","QB4","11","57","59","58.0","1.0","51.0","-9.0"
"61","7","","Kenyan Drake","MIA","RB27","5","46","71","58.5","12.5","55.0","-6.0"
"62","7","","Cooper Kupp","LAR","WR27","9","60","61","60.5","0.5","49.0","-13.0"
"63","7","","O.J. Howard","TB","TE5","7","53","69","61.0","8.0","56.0","-7.0"
"64","7","","Tevin Coleman","SF","RB28","4","55","68","61.5","6.5","58.0","-6.0"
"65","7","","Allen Robinson","CHI","WR28","6","61","66","63.5","2.5","76.0","+11.0"
"66","7","","James White","NE","RB29","10","58","71","64.5","6.5","68.0","+2.0"
"67","7","","Phillip Lindsay","DEN","RB30","10","51","82","66.5","15.5","42.0","-25.0"
"68","7","","Marvin Jones","DET","WR29","5","65","74","69.5","4.5","88.0","+20.0"
"69","7","","Matt Ryan","ATL","QB5","9","67","72","69.5","2.5","71.0","+2.0"
"70","7","","Sammy Watkins","KC","WR30","12","48","96","72.0","24.0","85.0","+15.0"
"71","7","","Tarik Cohen","CHI","RB31","6","62","82","72.0","10.0","64.0","-7.0"
"72","7","","Evan Engram","NYG","TE6","11","73","73","73.0","0.0","63.0","-9.0"
"73","7","","Baker Mayfield","CLE","QB6","7","64","84","74.0","10.0","62.0","-11.0"
