"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","1","1.0","0.0","1.0","0.0"
"2","1","","Alvin Kamara","NO","RB2","9","2","3","2.5","0.5","2.0","0.0"
"3","1","","Christian McCaffrey","CAR","RB3","7","2","4","3.0","1.0","3.0","0.0"
"4","1","","David Johnson","ARI","RB4","12","3","4","3.5","0.5","6.0","+2.0"
"5","2","","DeAndre Hopkins","HOU","WR1","10","7","12","9.5","2.5","5.0","0.0"
"6","2","","Travis Kelce","KC","TE1","12","8","11","9.5","1.5","19.0","+13.0"
"7","2","","Joe Mixon","CIN","RB5","9","10","10","10.0","0.0","13.0","+6.0"
"8","2","","Damien Williams","KC","RB6","12","5","16","10.5","5.5","25.0","+17.0"
"9","2","","Le'Veon Bell","NYJ","RB7","4","6","15","10.5","4.5","7.0","-2.0"
"10","3","","Julio Jones","ATL","WR2","9","9","14","11.5","2.5","12.0","+2.0"
"11","3","","Michael Thomas","NO","WR3","9","11","13","12.0","1.0","10.0","-1.0"
"12","3","","Davante Adams","GB","WR4","11","9","20","14.5","5.5","8.0","-4.0"
"13","3","","Nick Chubb","CLE","RB8","7","12","17","14.5","2.5","15.0","+2.0"
"14","3","","Tyreek Hill","KC","WR5","12","8","22","15.0","7.0","17.0","+3.0"
"15","3","","Odell Beckham Jr.","CLE","WR6","7","14","17","15.5","1.5","14.0","-1.0"
"16","3","","Todd Gurley","LAR","RB9","9","5","32","18.5","13.5","11.0","-5.0"
"17","4","","Dalvin Cook","MIN","RB10","12","13","26","19.5","6.5","20.0","+3.0"
"18","4","","Patrick Mahomes","KC","QB1","12","7","35","21.0","14.0","16.0","-2.0"
"19","4","","James Conner","PIT","RB11","7","15","28","21.5","6.5","9.0","-10.0"
"20","4","","Ezekiel Elliott","DAL","RB12","8","6","38","22.0","16.0","4.0","-16.0"
"21","4","","George Kittle","SF","TE2","4","16","28","22.0","6.0","32.0","+11.0"
"22","4","","Derrick Henry","TEN","RB13","11","19","25","22.0","3.0","36.0","+14.0"
"23","4","","JuJu Smith-Schuster","PIT","WR7","7","18","29","23.5","5.5","18.0","-5.0"
"24","4","","Melvin Gordon","LAC","RB14","12","18","32","25.0","7.0","23.0","-1.0"
"25","4","","T.Y. Hilton","IND","WR8","6","21","30","25.5","4.5","29.0","+4.0"
"26","4","","Mike Evans","TB","WR9","7","19","37","28.0","9.0","21.0","-5.0"
"27","5","","Keenan Allen","LAC","WR10","12","27","33","30.0","3.0","28.0","+1.0"
"28","5","","Amari Cooper","DAL","WR11","8","24","38","31.0","7.0","34.0","+6.0"
"29","5","","Adam Thielen","MIN","WR12","12","29","34","31.5","2.5","26.0","-3.0"
"30","5","","Leonard Fournette","JAC","RB15","10","26","41","33.5","7.5","24.0","-6.0"
"31","5","","Kerryon Johnson","DET","RB16","5","24","44","34.0","10.0","27.0","-4.0"
"32","5","","Marlon Mack","IND","RB17","6","20","49","34.5","14.5","31.0","-1.0"
"33","5","","Stefon Diggs","MIN","WR13","12","34","36","35.0","1.0","38.0","+5.0"
"34","5","","O.J. Howard","TB","TE3","7","23","48","35.5","12.5","56.0","+22.0"
"35","5","","Devonta Freeman","ATL","RB18","9","30","41","35.5","5.5","35.0","0.0"
"36","5","","Brandin Cooks","LAR","WR14","9","31","43","37.0","6.0","39.0","+3.0"
"37","5","","Zach Ertz","PHI","TE4","10","23","53","38.0","15.0","33.0","-4.0"
"38","5","","Deshaun Watson","HOU","QB2","10","22","57","39.5","17.5","47.0","+9.0"
"39","5","","Julian Edelman","NE","WR15","10","39","40","39.5","0.5","44.0","+5.0"
"40","5","","Mark Ingram","BAL","RB19","8","27","55","41.0","14.0","46.0","+6.0"
