"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","1","1.0","0.0","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","2","3","2.5","0.5","3.0","+1.0"
"3","1","","Alvin Kamara","NO","RB3","9","3","4","3.5","0.5","2.0","-1.0"
"4","2","","David Johnson","ARI","RB4","12","5","6","5.5","0.5","6.0","+2.0"
"5","2","","James Conner","PIT","RB5","7","4","13","8.5","4.5","9.0","+4.0"
"6","2","","DeAndre Hopkins","HOU","WR1","10","7","10","8.5","1.5","5.0","-1.0"
"7","2","","Ezekiel Elliott","DAL","RB6","8","2","16","9.0","7.0","4.0","-3.0"
"8","2","","Davante Adams","GB","WR2","11","7","11","9.0","2.0","8.0","0.0"
"9","2","","Tyreek Hill","KC","WR3","12","9","11","10.0","1.0","17.0","+8.0"
"10","3","","Le'Veon Bell","NYJ","RB7","4","5","16","10.5","5.5","7.0","-3.0"
"11","3","","Travis Kelce","KC","TE1","12","8","15","11.5","3.5","19.0","+8.0"
"12","3","","Julio Jones","ATL","WR4","9","9","14","11.5","2.5","12.0","0.0"
"13","3","","Michael Thomas","NO","WR5","9","8","17","12.5","4.5","10.0","-3.0"
"14","3","","Joe Mixon","CIN","RB8","9","12","15","13.5","1.5","13.0","-1.0"
"15","3","","Damien Williams","KC","RB9","12","10","20","15.0","5.0","25.0","+10.0"
"16","4","","Dalvin Cook","MIN","RB10","12","6","26","16.0","10.0","20.0","+4.0"
"17","4","","Odell Beckham Jr.","CLE","WR6","7","13","19","16.0","3.0","14.0","-3.0"
"18","4","","JuJu Smith-Schuster","PIT","WR7","7","14","18","16.0","2.0","18.0","0.0"
"19","4","","Nick Chubb","CLE","RB11","7","12","22","17.0","5.0","15.0","-4.0"
"20","4","","George Kittle","SF","TE2","4","17","23","20.0","3.0","32.0","+12.0"
"21","4","","T.Y. Hilton","IND","WR8","6","21","21","21.0","0.0","29.0","+8.0"
"22","4","","Antonio Brown","OAK","WR9","6","19","27","23.0","4.0","22.0","0.0"
"23","4","","Mike Evans","TB","WR10","7","22","25","23.5","1.5","21.0","-2.0"
"24","4","","Adam Thielen","MIN","WR11","12","23","24","23.5","0.5","26.0","+2.0"
"25","4","","Marlon Mack","IND","RB12","6","20","30","25.0","5.0","31.0","+6.0"
"26","5","","Stefon Diggs","MIN","WR12","12","24","29","26.5","2.5","38.0","+12.0"
"27","5","","Todd Gurley","LAR","RB13","9","25","29","27.0","2.0","11.0","-16.0"
"28","5","","Kerryon Johnson","DET","RB14","5","32","32","32.0","0.0","27.0","-1.0"
"29","5","","Aaron Jones","GB","RB15","11","33","33","33.0","0.0","30.0","+1.0"
"30","5","","Keenan Allen","LAC","WR13","12","31","37","34.0","3.0","28.0","-2.0"
"31","5","","Derrick Henry","TEN","RB16","11","26","43","34.5","8.5","36.0","+5.0"
"32","5","","Zach Ertz","PHI","TE3","10","18","53","35.5","17.5","33.0","+1.0"
"33","5","","Brandin Cooks","LAR","WR14","9","34","37","35.5","1.5","39.0","+6.0"
"34","5","","Leonard Fournette","JAC","RB17","10","35","36","35.5","0.5","24.0","-10.0"
"35","5","","Patrick Mahomes","KC","QB1","12","35","36","35.5","0.5","16.0","-19.0"
"36","5","","Robert Woods","LAR","WR15","9","34","38","36.0","2.0","40.0","+4.0"
"37","5","","Amari Cooper","DAL","WR16","8","27","49","38.0","11.0","34.0","-3.0"
"38","5","","Mark Ingram","BAL","RB18","8","38","39","38.5","0.5","46.0","+8.0"
"39","6","","Hunter Henry","LAC","TE4","12","28","52","40.0","12.0","70.0","+31.0"
"40","6","","Tyler Lockett","SEA","WR17","11","39","45","42.0","3.0","53.0","+13.0"
"41","6","","Julian Edelman","NE","WR18","10","40","44","42.0","2.0","44.0","+3.0"
