"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","1","1.0","0.0","1.0","0.0"
"2","1","","Alvin Kamara","NO","RB2","9","2","3","2.5","0.5","2.0","0.0"
"3","1","","Christian McCaffrey","CAR","RB3","7","2","4","3.0","1.0","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","3","6","4.5","1.5","4.0","0.0"
"5","2","","DeAndre Hopkins","HOU","WR1","10","7","7","7.0","0.0","5.0","0.0"
"6","2","","David Johnson","ARI","RB5","12","4","12","8.0","4.0","6.0","0.0"
"7","2","","James Conner","PIT","RB6","7","6","10","8.0","2.0","9.0","+2.0"
"8","2","","Travis Kelce","KC","TE1","12","8","8","8.0","0.0","19.0","+11.0"
"9","2","","Davante Adams","GB","WR2","11","9","11","10.0","1.0","8.0","-1.0"
"10","2","","Joe Mixon","CIN","RB7","9","5","16","10.5","5.5","13.0","+3.0"
"11","2","","Le'Veon Bell","NYJ","RB8","4","10","12","11.0","1.0","7.0","-4.0"
"12","3","","Odell Beckham Jr.","CLE","WR3","7","9","19","14.0","5.0","14.0","+2.0"
"13","3","","Michael Thomas","NO","WR4","9","11","18","14.5","3.5","10.0","-3.0"
"14","3","","Julio Jones","ATL","WR5","9","17","18","17.5","0.5","12.0","-2.0"
"15","3","","Dalvin Cook","MIN","RB9","12","16","20","18.0","2.0","20.0","+5.0"
"16","3","","Nick Chubb","CLE","RB10","7","5","32","18.5","13.5","15.0","-1.0"
"17","3","","Marlon Mack","IND","RB11","6","13","25","19.0","6.0","31.0","+14.0"
"18","3","","JuJu Smith-Schuster","PIT","WR6","7","19","21","20.0","1.0","18.0","0.0"
"19","4","","T.Y. Hilton","IND","WR7","6","14","27","20.5","6.5","29.0","+10.0"
"20","4","","Tyreek Hill","KC","WR8","12","14","27","20.5","6.5","17.0","-3.0"
"21","4","","Keenan Allen","LAC","WR9","12","17","24","20.5","3.5","28.0","+7.0"
"22","4","","Antonio Brown","OAK","WR10","6","21","22","21.5","0.5","22.0","0.0"
"23","4","","Mike Evans","TB","WR11","7","22","24","23.0","1.0","21.0","-2.0"
"24","4","","George Kittle","SF","TE2","4","23","23","23.0","0.0","32.0","+8.0"
"25","4","","Kerryon Johnson","DET","RB12","5","15","33","24.0","9.0","27.0","+2.0"
"26","4","","Todd Gurley","LAR","RB13","9","13","41","27.0","14.0","11.0","-15.0"
"27","4","","Zach Ertz","PHI","TE3","10","28","28","28.0","0.0","33.0","+6.0"
"28","4","","Adam Thielen","MIN","WR12","12","29","30","29.5","0.5","26.0","-2.0"
"29","5","","Leonard Fournette","JAC","RB14","10","26","36","31.0","5.0","24.0","-5.0"
"30","5","","Amari Cooper","DAL","WR13","8","29","34","31.5","2.5","34.0","+4.0"
"31","5","","Julian Edelman","NE","WR14","10","30","34","32.0","2.0","44.0","+13.0"
"32","5","","Derrick Henry","TEN","RB15","11","32","33","32.5","0.5","36.0","+4.0"
"33","5","","Melvin Gordon","LAC","RB16","12","25","41","33.0","8.0","23.0","-10.0"
"34","5","","Chris Carson","SEA","RB17","11","15","54","34.5","19.5","41.0","+7.0"
"35","5","","Patrick Mahomes","KC","QB1","12","35","35","35.0","0.0","16.0","-19.0"
"36","5","","Josh Jacobs","OAK","RB18","6","20","54","37.0","17.0","37.0","+1.0"
"37","5","","Stefon Diggs","MIN","WR15","12","39","39","39.0","0.0","38.0","+1.0"
"38","5","","Tyler Boyd","CIN","WR16","9","31","48","39.5","8.5","57.0","+19.0"
"39","5","","Robert Woods","LAR","WR17","9","37","42","39.5","2.5","40.0","+1.0"
"40","5","","Sony Michel","NE","RB19","10","36","44","40.0","4.0","52.0","+12.0"
