"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Ezekiel Elliott","DAL","RB1","8","1","2","1.5","0.5","2.0","+1.0"
"2","1","","Saquon Barkley","NYG","RB2","11","1","3","2.0","1.0","1.0","-1.0"
"3","1","","Christian McCaffrey","CAR","RB3","7","3","5","4.0","1.0","3.0","0.0"
"4","1","","Alvin Kamara","NO","RB4","9","4","5","4.5","0.5","4.0","0.0"
"5","1","","David Johnson","ARI","RB5","12","4","6","5.0","1.0","8.0","+3.0"
"6","2","","Travis Kelce","KC","TE1","12","8","8","8.0","0.0","16.0","+10.0"
"7","2","","DeAndre Hopkins","HOU","WR1","10","9","10","9.5","0.5","5.0","-2.0"
"8","2","","Julio Jones","ATL","WR2","9","7","13","10.0","3.0","11.0","+3.0"
"9","3","","Davante Adams","GB","WR3","11","11","11","11.0","0.0","7.0","-2.0"
"10","3","","Nick Chubb","CLE","RB6","7","12","13","12.5","0.5","20.0","+10.0"
"11","3","","Odell Beckham Jr.","CLE","WR4","7","9","17","13.0","4.0","15.0","+4.0"
"12","3","","James Conner","PIT","RB7","7","12","14","13.0","1.0","9.0","-3.0"
"13","3","","Todd Gurley","LAR","RB8","9","2","25","13.5","11.5","12.0","-1.0"
"14","3","","JuJu Smith-Schuster","PIT","WR5","7","7","21","14.0","7.0","17.0","+3.0"
"15","3","","Melvin Gordon","LAC","RB9","12","10","18","14.0","4.0","14.0","-1.0"
"16","3","","Michael Thomas","NO","WR6","9","14","16","15.0","1.0","10.0","-6.0"
"17","3","","Joe Mixon","CIN","RB10","9","15","15","15.0","0.0","13.0","-4.0"
"18","3","","Le'Veon Bell","NYJ","RB11","4","16","19","17.5","1.5","6.0","-12.0"
"19","4","","Mike Evans","TB","WR7","7","17","24","20.5","3.5","23.0","+4.0"
"20","4","","Damien Williams","KC","RB12","12","6","36","21.0","15.0","24.0","+4.0"
"21","4","","Dalvin Cook","MIN","RB13","12","20","29","24.5","4.5","18.0","-3.0"
"22","4","","Zach Ertz","PHI","TE2","10","23","28","25.5","2.5","29.0","+7.0"
"23","4","","George Kittle","SF","TE3","4","23","28","25.5","2.5","33.0","+10.0"
"24","4","","Antonio Brown","OAK","WR8","6","18","34","26.0","8.0","21.0","-3.0"
"25","4","","Amari Cooper","DAL","WR9","8","22","30","26.0","4.0","31.0","+6.0"
"26","4","","Aaron Jones","GB","RB14","11","22","32","27.0","5.0","30.0","+4.0"
"27","4","","Brandin Cooks","LAR","WR10","9","26","31","28.5","2.5","40.0","+13.0"
"28","4","","Stefon Diggs","MIN","WR11","12","27","30","28.5","1.5","37.0","+9.0"
"29","5","","Leonard Fournette","JAC","RB15","10","26","33","29.5","3.5","26.0","-3.0"
"30","5","","Keenan Allen","LAC","WR12","12","29","32","30.5","1.5","28.0","-2.0"
"31","5","","Josh Jacobs","OAK","RB16","6","24","38","31.0","7.0","38.0","+7.0"
"32","5","","T.Y. Hilton","IND","WR13","6","27","35","31.0","4.0","27.0","-5.0"
"33","5","","Marlon Mack","IND","RB17","6","20","43","31.5","11.5","34.0","+1.0"
"34","5","","Devonta Freeman","ATL","RB18","9","25","42","33.5","8.5","32.0","-2.0"
"35","5","","Adam Thielen","MIN","WR14","12","31","37","34.0","3.0","25.0","-10.0"
"36","5","","Robert Woods","LAR","WR15","9","34","39","36.5","2.5","44.0","+8.0"
"37","5","","Patrick Mahomes","KC","QB1","12","35","40","37.5","2.5","19.0","-18.0"
"38","5","","Kenny Golladay","DET","WR16","5","38","39","38.5","0.5","42.0","+4.0"
"39","5","","A.J. Green","CIN","WR17","9","19","62","40.5","21.5","39.0","0.0"
"40","6","","Chris Carson","SEA","RB19","11","33","53","43.0","10.0","48.0","+8.0"
"41","6","","Chris Godwin","TB","WR18","7","36","50","43.0","7.0","50.0","+9.0"
"42","6","","Kerryon Johnson","DET","RB20","5","44","44","44.0","0.0","35.0","-7.0"
"43","6","","Allen Robinson","CHI","WR19","6","42","47","44.5","2.5","74.0","+31.0"
"44","6","","Cooper Kupp","LAR","WR20","9","45","45","45.0","0.0","51.0","+7.0"
"45","6","","Derrick Henry","TEN","RB21","11","46","48","47.0","1.0","36.0","-9.0"
"46","6","","D.J. Moore","CAR","WR21","7","37","60","48.5","11.5","66.0","+20.0"
"47","6","","Corey Davis","TEN","WR22","11","40","60","50.0","10.0","90.0","+43.0"
"48","6","","Sony Michel","NE","RB22","10","41","59","50.0","9.0","47.0","-1.0"
"49","6","","Andrew Luck","IND","QB2","6","47","58","52.5","5.5","45.0","-4.0"
"50","6","","Sammy Watkins","KC","WR23","12","41","65","53.0","12.0","78.0","+28.0"
"51","6","","Deshaun Watson","HOU","QB3","10","49","59","54.0","5.0","49.0","-2.0"
"52","6","","Alshon Jeffery","PHI","WR24","10","51","63","57.0","6.0","70.0","+18.0"
"53","6","","O.J. Howard","TB","TE4","7","53","63","58.0","5.0","56.0","+3.0"
"54","6","","Tyler Boyd","CIN","WR25","9","52","65","58.5","6.5","60.0","+6.0"
"55","6","","Baker Mayfield","CLE","QB4","7","55","64","59.5","4.5","62.0","+7.0"
"56","6","","Lamar Miller","HOU","RB23","10","57","62","59.5","2.5","71.0","+15.0"
"57","6","","Tarik Cohen","CHI","RB24","6","58","61","59.5","1.5","59.0","+2.0"
"58","7","","Hunter Henry","LAC","TE5","12","54","69","61.5","7.5","64.0","+6.0"
"59","7","","Jarvis Landry","CLE","WR26","7","48","76","62.0","14.0","65.0","+6.0"
"60","7","","Calvin Ridley","ATL","WR27","9","49","75","62.0","13.0","55.0","-5.0"
"61","7","","Mike Williams","LAC","WR28","12","50","74","62.0","12.0","61.0","0.0"
"62","7","","Aaron Rodgers","GB","QB5","11","57","69","63.0","6.0","53.0","-9.0"
"63","7","","Christian Kirk","ARI","WR29","12","43","88","65.5","22.5","87.0","+24.0"
"64","7","","Will Fuller","HOU","WR30","10","56","76","66.0","10.0","80.0","+16.0"
"65","7","","Phillip Lindsay","DEN","RB25","10","55","78","66.5","11.5","41.0","-24.0"
"66","7","","Mark Ingram","BAL","RB26","8","46","90","68.0","22.0","46.0","-20.0"
"67","7","","Jameis Winston","TB","QB6","7","52","84","68.0","16.0","111.0","+44.0"
"68","7","","Derrius Guice","WAS","RB27","10","51","86","68.5","17.5","69.0","+1.0"
"69","7","","Tyler Lockett","SEA","WR31","11","61","77","69.0","8.0","54.0","-15.0"
"70","7","","Julian Edelman","NE","WR32","10","64","75","69.5","5.5","43.0","-27.0"
"71","7","","Tyreek Hill","KC","WR33","12","21","121","71.0","50.0","22.0","-49.0"
"72","7","","Matt Ryan","ATL","QB7","9","67","79","73.0","6.0","72.0","0.0"
"73","7","","David Montgomery","CHI","RB28","6","54","93","73.5","19.5","52.0","-21.0"
"74","7","","Evan Engram","NYG","TE6","11","68","80","74.0","6.0","58.0","-16.0"
"75","7","","Tevin Coleman","SF","RB29","4","70","82","76.0","6.0","67.0","-8.0"
"76","7","","Kenyan Drake","MIA","RB30","5","71","86","78.5","7.5","57.0","-19.0"
"77","8","","Robby Anderson","NYJ","WR34","4","74","85","79.5","5.5","75.0","-2.0"
"78","8","","Courtland Sutton","DEN","WR35","10","78","81","79.5","1.5","99.0","+21.0"
"79","8","","Cam Newton","CAR","QB8","7","72","88","80.0","8.0","85.0","+6.0"
"80","8","","Royce Freeman","DEN","RB31","10","66","95","80.5","14.5","96.0","+16.0"
"81","8","","David Njoku","CLE","TE7","7","80","81","80.5","0.5","88.0","+7.0"
"82","8","","Jared Cook","NO","TE8","9","73","92","82.5","9.5","73.0","-9.0"
"83","8","","Latavius Murray","NO","RB32","9","56","110","83.0","27.0","92.0","+9.0"
"84","8","","James White","NE","RB33","10","71","101","86.0","15.0","63.0","-21.0"
"85","8","","Kyler Murray","ARI","QB9","12","67","110","88.5","21.5","103.0","+18.0"
"86","8","","Austin Hooper","ATL","TE9","9","73","106","89.5","16.5","120.0","+34.0"
"87","8","","Rashaad Penny","SEA","RB34","11","83","99","91.0","8.0","76.0","-11.0"
"88","8","","Miles Sanders","PHI","RB35","10","82","102","92.0","10.0","77.0","-11.0"
"89","8","","Golden Tate","NYG","WR36","11","87","98","92.5","5.5","112.0","+23.0"
"90","8","","Keke Coutee","HOU","WR37","10","87","99","93.0","6.0","131.0","+41.0"
"91","8","","Sterling Shepard","NYG","WR38","11","79","109","94.0","15.0","97.0","+6.0"
