"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","2","1.5","0.5","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","3","2.0","1.0","3.0","+1.0"
"3","1","","Alvin Kamara","NO","RB3","9","3","4","3.5","0.5","2.0","-1.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","2","6","4.0","2.0","4.0","0.0"
"5","2","","DeAndre Hopkins","HOU","WR1","10","5","8","6.5","1.5","5.0","0.0"
"6","2","","Odell Beckham Jr.","CLE","WR2","7","6","7","6.5","0.5","14.0","+8.0"
"7","2","","Nick Chubb","CLE","RB5","7","5","10","7.5","2.5","15.0","+8.0"
"8","2","","David Johnson","ARI","RB6","12","4","12","8.0","4.0","6.0","-2.0"
"9","3","","Michael Thomas","NO","WR3","9","8","17","12.5","4.5","10.0","+1.0"
"10","3","","Todd Gurley","LAR","RB7","9","12","14","13.0","1.0","11.0","+1.0"
"11","3","","Julio Jones","ATL","WR4","9","13","13","13.0","0.0","12.0","+1.0"
"12","3","","Travis Kelce","KC","TE1","12","7","22","14.5","7.5","19.0","+7.0"
"13","3","","Davante Adams","GB","WR5","11","10","20","15.0","5.0","8.0","-5.0"
"14","3","","James Conner","PIT","RB8","7","11","19","15.0","4.0","9.0","-5.0"
"15","3","","Joe Mixon","CIN","RB9","9","15","15","15.0","0.0","13.0","-2.0"
"16","3","","Le'Veon Bell","NYJ","RB10","4","9","24","16.5","7.5","7.0","-9.0"
"17","3","","JuJu Smith-Schuster","PIT","WR6","7","18","18","18.0","0.0","18.0","+1.0"
"18","3","","Mike Evans","TB","WR7","7","16","21","18.5","2.5","21.0","+3.0"
"19","3","","Tyreek Hill","KC","WR8","12","16","21","18.5","2.5","17.0","-2.0"
"20","4","","Dalvin Cook","MIN","RB11","12","11","31","21.0","10.0","20.0","0.0"
"21","4","","Chris Carson","SEA","RB12","11","19","26","22.5","3.5","41.0","+20.0"
"22","4","","George Kittle","SF","TE2","4","22","23","22.5","0.5","32.0","+10.0"
"23","4","","Keenan Allen","LAC","WR9","12","17","30","23.5","6.5","28.0","+5.0"
"24","4","","Kerryon Johnson","DET","RB13","5","25","25","25.0","0.0","27.0","+3.0"
"25","4","","Antonio Brown","OAK","WR10","6","20","31","25.5","5.5","22.0","-3.0"
"26","4","","Amari Cooper","DAL","WR11","8","24","28","26.0","2.0","34.0","+8.0"
"27","4","","T.Y. Hilton","IND","WR12","6","23","30","26.5","3.5","29.0","+2.0"
"28","4","","Brandin Cooks","LAR","WR13","9","26","27","26.5","0.5","39.0","+11.0"
"29","4","","Melvin Gordon","LAC","RB14","12","9","46","27.5","18.5","23.0","-6.0"
"30","4","","Zach Ertz","PHI","TE3","10","27","28","27.5","0.5","33.0","+3.0"
"31","4","","Aaron Jones","GB","RB15","11","14","42","28.0","14.0","30.0","-1.0"
"32","5","","Stefon Diggs","MIN","WR14","12","29","34","31.5","2.5","38.0","+6.0"
"33","5","","Robert Woods","LAR","WR15","9","29","36","32.5","3.5","40.0","+7.0"
"34","5","","Patrick Mahomes","KC","QB1","12","34","35","34.5","0.5","16.0","-18.0"
"35","5","","Adam Thielen","MIN","WR16","12","33","39","36.0","3.0","26.0","-9.0"
"36","5","","Damien Williams","KC","RB16","12","32","41","36.5","4.5","25.0","-11.0"
"37","5","","Devonta Freeman","ATL","RB17","9","36","37","36.5","0.5","35.0","-2.0"
"38","5","","Marlon Mack","IND","RB18","6","33","43","38.0","5.0","31.0","-7.0"
"39","5","","Josh Jacobs","OAK","RB19","6","32","45","38.5","6.5","37.0","-2.0"
"40","5","","Derrick Henry","TEN","RB20","11","35","43","39.0","4.0","36.0","-4.0"
