"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","1","1.0","0.0","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","2","2","2.0","0.0","3.0","+1.0"
"3","1","","Alvin Kamara","NO","RB3","9","3","3","3.0","0.0","2.0","-1.0"
"4","1","","David Johnson","ARI","RB4","12","4","5","4.5","0.5","6.0","+2.0"
"5","1","","Ezekiel Elliott","DAL","RB5","8","4","6","5.0","1.0","4.0","-1.0"
"6","2","","James Conner","PIT","RB6","7","5","6","5.5","0.5","9.0","+3.0"
"7","2","","DeAndre Hopkins","HOU","WR1","10","7","8","7.5","0.5","5.0","-2.0"
"8","2","","Davante Adams","GB","WR2","11","9","9","9.0","0.0","8.0","0.0"
"9","2","","Le'Veon Bell","NYJ","RB7","4","10","10","10.0","0.0","7.0","-2.0"
"10","2","","Travis Kelce","KC","TE1","12","8","13","10.5","2.5","19.0","+9.0"
"11","2","","Joe Mixon","CIN","RB8","9","7","15","11.0","4.0","13.0","+2.0"
"12","2","","Julio Jones","ATL","WR3","9","11","11","11.0","0.0","12.0","0.0"
"13","3","","Nick Chubb","CLE","RB9","7","12","13","12.5","0.5","15.0","+2.0"
"14","3","","Odell Beckham Jr.","CLE","WR4","7","14","14","14.0","0.0","14.0","0.0"
"15","3","","Todd Gurley","LAR","RB10","9","15","16","15.5","0.5","11.0","-4.0"
"16","3","","Dalvin Cook","MIN","RB11","12","16","20","18.0","2.0","20.0","+4.0"
"17","3","","JuJu Smith-Schuster","PIT","WR5","7","17","19","18.0","1.0","18.0","+1.0"
"18","3","","Michael Thomas","NO","WR6","9","17","21","19.0","2.0","10.0","-8.0"
"19","3","","Mike Evans","TB","WR7","7","18","21","19.5","1.5","21.0","+2.0"
"20","4","","Melvin Gordon","LAC","RB12","12","12","32","22.0","10.0","23.0","+3.0"
"21","4","","Tyreek Hill","KC","WR8","12","18","27","22.5","4.5","17.0","-4.0"
"22","4","","T.Y. Hilton","IND","WR9","6","22","24","23.0","1.0","29.0","+7.0"
"23","4","","Zach Ertz","PHI","TE2","10","23","23","23.0","0.0","33.0","+10.0"
"24","4","","George Kittle","SF","TE3","4","19","28","23.5","4.5","32.0","+8.0"
"25","4","","Antonio Brown","OAK","WR10","6","24","28","26.0","2.0","22.0","-3.0"
"26","4","","Patrick Mahomes","KC","QB1","12","22","35","28.5","6.5","16.0","-10.0"
"27","4","","Marlon Mack","IND","RB13","6","25","32","28.5","3.5","31.0","+4.0"
"28","4","","Damien Williams","KC","RB14","12","20","38","29.0","9.0","25.0","-3.0"
"29","4","","Kerryon Johnson","DET","RB15","5","26","33","29.5","3.5","27.0","-2.0"
"30","4","","Keenan Allen","LAC","WR11","12","29","30","29.5","0.5","28.0","-2.0"
"31","4","","Adam Thielen","MIN","WR12","12","29","31","30.0","1.0","26.0","-5.0"
"32","5","","Amari Cooper","DAL","WR13","8","27","35","31.0","4.0","34.0","+2.0"
"33","5","","Leonard Fournette","JAC","RB16","10","25","38","31.5","6.5","24.0","-9.0"
"34","5","","Brandin Cooks","LAR","WR14","9","31","37","34.0","3.0","39.0","+5.0"
"35","5","","Aaron Jones","GB","RB17","11","26","43","34.5","8.5","30.0","-5.0"
"36","5","","Robert Woods","LAR","WR15","9","34","37","35.5","1.5","40.0","+4.0"
"37","5","","Julian Edelman","NE","WR16","10","30","42","36.0","6.0","44.0","+7.0"
"38","5","","Stefon Diggs","MIN","WR17","12","34","39","36.5","2.5","38.0","0.0"
"39","5","","Derrick Henry","TEN","RB18","11","33","44","38.5","5.5","36.0","-3.0"
"40","5","","Kenny Golladay","DET","WR18","5","39","40","39.5","0.5","45.0","+5.0"
"41","5","","Chris Carson","SEA","RB19","11","36","46","41.0","5.0","41.0","0.0"
"42","5","","Tyler Lockett","SEA","WR19","11","40","42","41.0","1.0","53.0","+11.0"
"43","5","","Devonta Freeman","ATL","RB20","9","41","44","42.5","1.5","35.0","-8.0"
"44","6","","Josh Jacobs","OAK","RB21","6","36","54","45.0","9.0","37.0","-7.0"
"45","6","","Phillip Lindsay","DEN","RB22","10","41","51","46.0","5.0","42.0","-3.0"
"46","6","","Chris Godwin","TB","WR20","7","45","49","47.0","2.0","50.0","+4.0"
"47","6","","Cooper Kupp","LAR","WR21","9","48","48","48.0","0.0","49.0","+2.0"
"48","6","","Mark Ingram","BAL","RB23","8","46","51","48.5","2.5","46.0","-2.0"
"49","6","","Alshon Jeffery","PHI","WR22","10","49","50","49.5","0.5","69.0","+20.0"
"50","6","","Sony Michel","NE","RB24","10","43","58","50.5","7.5","52.0","+2.0"
"51","6","","O.J. Howard","TB","TE4","7","53","53","53.0","0.0","56.0","+5.0"
"52","6","","Tyler Boyd","CIN","WR23","9","45","66","55.5","10.5","57.0","+5.0"
"53","6","","Deshaun Watson","HOU","QB2","10","47","64","55.5","8.5","47.0","-6.0"
"54","6","","Lamar Miller","HOU","RB25","10","56","56","56.0","0.0","60.0","+6.0"
"55","6","","Mike Williams","LAC","WR24","12","50","63","56.5","6.5","61.0","+6.0"
"56","6","","Robby Anderson","NYJ","WR25","4","52","61","56.5","4.5","74.0","+18.0"
"57","6","","Aaron Rodgers","GB","QB3","11","57","57","57.0","0.0","51.0","-6.0"
"58","6","","David Montgomery","CHI","RB26","6","54","62","58.0","4.0","43.0","-15.0"
"59","6","","Allen Robinson","CHI","WR26","6","52","65","58.5","6.5","76.0","+17.0"
"60","6","","Calvin Ridley","ATL","WR27","9","60","61","60.5","0.5","54.0","-6.0"
"61","7","","Baker Mayfield","CLE","QB4","7","59","64","61.5","2.5","62.0","+1.0"
