"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Christian McCaffrey","CAR","RB1","7","1","1","1.0","0.0","3.0","+2.0"
"2","1","","Saquon Barkley","NYG","RB2","11","2","2","2.0","0.0","1.0","-1.0"
"3","1","","Ezekiel Elliott","DAL","RB3","8","3","3","3.0","0.0","4.0","+1.0"
"4","1","","Alvin Kamara","NO","RB4","9","4","4","4.0","0.0","2.0","-2.0"
"5","2","","Nick Chubb","CLE","RB5","7","5","9","7.0","2.0","15.0","+10.0"
"6","2","","DeAndre Hopkins","HOU","WR1","10","7","8","7.5","0.5","5.0","-1.0"
"7","2","","David Johnson","ARI","RB6","12","6","11","8.5","2.5","6.0","-1.0"
"8","2","","Le'Veon Bell","NYJ","RB7","4","7","12","9.5","2.5","7.0","-1.0"
"9","2","","Davante Adams","GB","WR2","11","9","10","9.5","0.5","8.0","-1.0"
"10","3","","James Conner","PIT","RB8","7","5","15","10.0","5.0","9.0","-1.0"
"11","3","","Joe Mixon","CIN","RB9","9","6","17","11.5","5.5","13.0","+2.0"
"12","3","","Travis Kelce","KC","TE1","12","8","16","12.0","4.0","19.0","+7.0"
"13","3","","Odell Beckham Jr.","CLE","WR3","7","13","14","13.5","0.5","14.0","+1.0"
"14","3","","JuJu Smith-Schuster","PIT","WR4","7","11","18","14.5","3.5","18.0","+4.0"
"15","3","","Michael Thomas","NO","WR5","9","10","20","15.0","5.0","10.0","-5.0"
"16","3","","Julio Jones","ATL","WR6","9","15","17","16.0","1.0","12.0","-4.0"
"17","4","","Marlon Mack","IND","RB10","6","13","22","17.5","4.5","31.0","+14.0"
"18","4","","Dalvin Cook","MIN","RB11","12","12","25","18.5","6.5","20.0","+2.0"
"19","4","","Kerryon Johnson","DET","RB12","5","18","20","19.0","1.0","27.0","+8.0"
"20","4","","Tyreek Hill","KC","WR7","12","19","19","19.0","0.0","17.0","-3.0"
"21","4","","Derrick Henry","TEN","RB13","11","16","24","20.0","4.0","36.0","+15.0"
"22","4","","Mike Evans","TB","WR8","7","21","21","21.0","0.0","21.0","-1.0"
"23","4","","T.Y. Hilton","IND","WR9","6","23","24","23.5","0.5","29.0","+6.0"
"24","4","","Todd Gurley","LAR","RB14","9","14","38","26.0","12.0","11.0","-13.0"
"25","4","","Antonio Brown","OAK","WR10","6","22","30","26.0","4.0","22.0","-3.0"
"26","5","","Devonta Freeman","ATL","RB15","9","26","28","27.0","1.0","35.0","+9.0"
"27","5","","Keenan Allen","LAC","WR11","12","25","30","27.5","2.5","28.0","+1.0"
"28","5","","George Kittle","SF","TE2","4","23","38","30.5","7.5","32.0","+4.0"
"29","5","","Adam Thielen","MIN","WR12","12","27","34","30.5","3.5","26.0","-3.0"
"30","5","","Amari Cooper","DAL","WR13","8","27","34","30.5","3.5","34.0","+4.0"
"31","5","","Damien Williams","KC","RB16","12","26","36","31.0","5.0","25.0","-6.0"
"32","5","","Brandin Cooks","LAR","WR14","9","31","33","32.0","1.0","39.0","+7.0"
"33","5","","Zach Ertz","PHI","TE3","10","28","37","32.5","4.5","33.0","0.0"
"34","5","","Patrick Mahomes","KC","QB1","12","32","35","33.5","1.5","16.0","-18.0"
"35","5","","Stefon Diggs","MIN","WR15","12","31","37","34.0","3.0","38.0","+3.0"
"36","5","","Robert Woods","LAR","WR16","9","29","43","36.0","7.0","40.0","+4.0"
"37","5","","Sony Michel","NE","RB17","10","32","40","36.0","4.0","52.0","+15.0"
"38","5","","Leonard Fournette","JAC","RB18","10","29","44","36.5","7.5","24.0","-14.0"
"39","5","","Chris Carson","SEA","RB19","11","33","45","39.0","6.0","41.0","+2.0"
"40","5","","Aaron Jones","GB","RB20","11","35","43","39.0","4.0","30.0","-10.0"
"41","6","","Melvin Gordon","LAC","RB21","12","39","41","40.0","1.0","23.0","-18.0"
"42","6","","Kenny Golladay","DET","WR17","5","40","41","40.5","0.5","45.0","+3.0"
"43","6","","Chris Godwin","TB","WR18","7","39","49","44.0","5.0","50.0","+7.0"
"44","6","","Josh Jacobs","OAK","RB22","6","36","54","45.0","9.0","37.0","-7.0"
"45","6","","Phillip Lindsay","DEN","RB23","10","42","51","46.5","4.5","42.0","-3.0"
"46","6","","Tyler Lockett","SEA","WR19","11","45","51","48.0","3.0","53.0","+7.0"
"47","6","","Mark Ingram","BAL","RB24","8","46","55","50.5","4.5","46.0","-1.0"
"48","6","","Deshaun Watson","HOU","QB2","10","47","54","50.5","3.5","47.0","-1.0"
"49","7","","O.J. Howard","TB","TE4","7","53","56","54.5","1.5","56.0","+7.0"
"50","7","","Mike Williams","LAC","WR20","12","52","58","55.0","3.0","61.0","+11.0"
"51","7","","Cooper Kupp","LAR","WR21","9","50","61","55.5","5.5","49.0","-2.0"
"52","7","","Calvin Ridley","ATL","WR22","9","50","61","55.5","5.5","54.0","+2.0"
"53","7","","Tevin Coleman","SF","RB25","4","56","57","56.5","0.5","58.0","+5.0"
"54","7","","Alshon Jeffery","PHI","WR23","10","52","63","57.5","5.5","69.0","+15.0"
"55","7","","Allen Robinson","CHI","WR24","6","42","74","58.0","16.0","76.0","+21.0"
"56","7","","Aaron Rodgers","GB","QB3","11","57","59","58.0","1.0","51.0","-5.0"
"57","7","","Robby Anderson","NYJ","WR25","4","44","76","60.0","16.0","74.0","+17.0"
"58","7","","Julian Edelman","NE","WR26","10","46","74","60.0","14.0","44.0","-14.0"
"59","7","","Tyler Boyd","CIN","WR27","9","48","73","60.5","12.5","57.0","-2.0"
"60","7","","Hunter Henry","LAC","TE5","12","48","73","60.5","12.5","70.0","+10.0"
"61","7","","D.J. Moore","CAR","WR28","7","49","72","60.5","11.5","66.0","+5.0"
"62","7","","Lamar Miller","HOU","RB26","10","53","70","61.5","8.5","60.0","-2.0"
"63","7","","Latavius Murray","NO","RB27","9","55","69","62.0","7.0","87.0","+24.0"
