"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","3","2.0","1.0","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","2","2","2.0","0.0","3.0","+1.0"
"3","1","","Ezekiel Elliott","DAL","RB3","8","3","4","3.5","0.5","4.0","+1.0"
"4","1","","David Johnson","ARI","RB4","12","1","7","4.0","3.0","6.0","+2.0"
"5","1","","Nick Chubb","CLE","RB5","7","5","5","5.0","0.0","15.0","+10.0"
"6","2","","DeAndre Hopkins","HOU","WR1","10","7","8","7.5","0.5","5.0","-1.0"
"7","2","","Alvin Kamara","NO","RB6","9","4","12","8.0","4.0","2.0","-5.0"
"8","2","","Joe Mixon","CIN","RB7","9","6","14","10.0","4.0","13.0","+5.0"
"9","2","","Odell Beckham Jr.","CLE","WR2","7","9","13","11.0","2.0","14.0","+5.0"
"10","2","","Davante Adams","GB","WR3","11","11","11","11.0","0.0","8.0","-2.0"
"11","3","","Travis Kelce","KC","TE1","12","8","16","12.0","4.0","19.0","+8.0"
"12","3","","Le'Veon Bell","NYJ","RB8","4","9","15","12.0","3.0","7.0","-5.0"
"13","3","","Julio Jones","ATL","WR4","9","10","14","12.0","2.0","12.0","-1.0"
"14","3","","James Conner","PIT","RB9","7","6","20","13.0","7.0","9.0","-5.0"
"15","3","","Dalvin Cook","MIN","RB10","12","13","17","15.0","2.0","20.0","+5.0"
"16","3","","Derrick Henry","TEN","RB11","11","10","24","17.0","7.0","36.0","+20.0"
"17","3","","JuJu Smith-Schuster","PIT","WR5","7","17","19","18.0","1.0","18.0","+1.0"
"18","3","","Tyreek Hill","KC","WR6","12","15","22","18.5","3.5","17.0","-1.0"
"19","3","","Mike Evans","TB","WR7","7","19","21","20.0","1.0","21.0","+2.0"
"20","3","","T.Y. Hilton","IND","WR8","6","18","23","20.5","2.5","29.0","+9.0"
"21","3","","Michael Thomas","NO","WR9","9","20","21","20.5","0.5","10.0","-11.0"
"22","4","","Marlon Mack","IND","RB12","6","22","26","24.0","2.0","31.0","+9.0"
"23","4","","Chris Carson","SEA","RB13","11","16","39","27.5","11.5","41.0","+18.0"
"24","4","","Adam Thielen","MIN","WR10","12","24","31","27.5","3.5","26.0","+2.0"
"25","4","","Amari Cooper","DAL","WR11","8","27","30","28.5","1.5","34.0","+9.0"
"26","4","","George Kittle","SF","TE2","4","23","37","30.0","7.0","32.0","+6.0"
"27","4","","Kerryon Johnson","DET","RB14","5","28","33","30.5","2.5","27.0","0.0"
"28","4","","Melvin Gordon","LAC","RB15","12","26","36","31.0","5.0","23.0","-5.0"
"29","4","","Brandin Cooks","LAR","WR12","9","29","33","31.0","2.0","39.0","+10.0"
"30","5","","Keenan Allen","LAC","WR13","12","25","40","32.5","7.5","28.0","-2.0"
"31","5","","Patrick Mahomes","KC","QB1","12","32","35","33.5","1.5","16.0","-15.0"
"32","5","","Mark Ingram","BAL","RB16","8","25","45","35.0","10.0","46.0","+14.0"
"33","5","","Robert Woods","LAR","WR14","9","27","43","35.0","8.0","40.0","+7.0"
"34","5","","Julian Edelman","NE","WR15","10","34","39","36.5","2.5","44.0","+10.0"
"35","5","","Stefon Diggs","MIN","WR16","12","34","41","37.5","3.5","38.0","+3.0"
"36","5","","Leonard Fournette","JAC","RB17","10","35","41","38.0","3.0","24.0","-12.0"
"37","5","","Josh Jacobs","OAK","RB18","6","38","40","39.0","1.0","37.0","0.0"
"38","5","","Todd Gurley","LAR","RB19","9","12","70","41.0","29.0","11.0","-27.0"
"39","5","","Devonta Freeman","ATL","RB20","9","36","46","41.0","5.0","35.0","-4.0"
"40","5","","Tyler Boyd","CIN","WR17","9","31","52","41.5","10.5","57.0","+17.0"
"41","5","","Evan Engram","NYG","TE3","11","28","56","42.0","14.0","63.0","+22.0"
"42","5","","Damien Williams","KC","RB21","12","18","68","43.0","25.0","25.0","-17.0"
"43","5","","Kenny Golladay","DET","WR18","5","42","44","43.0","1.0","45.0","+2.0"
"44","5","","Sony Michel","NE","RB22","10","42","44","43.0","1.0","52.0","+8.0"
"45","6","","Aaron Jones","GB","RB23","11","29","62","45.5","16.5","30.0","-15.0"
"46","6","","Cooper Kupp","LAR","WR19","9","45","50","47.5","2.5","49.0","+3.0"
"47","6","","Tyler Lockett","SEA","WR20","11","46","49","47.5","1.5","53.0","+6.0"
"48","6","","Latavius Murray","NO","RB24","9","32","64","48.0","16.0","87.0","+39.0"
"49","6","","Chris Godwin","TB","WR21","7","48","49","48.5","0.5","50.0","+1.0"
"50","6","","David Montgomery","CHI","RB25","6","47","51","49.0","2.0","43.0","-7.0"
"51","6","","O.J. Howard","TB","TE4","7","48","53","50.5","2.5","56.0","+5.0"
"52","6","","Mike Williams","LAC","WR22","12","51","52","51.5","0.5","61.0","+9.0"
"53","6","","Zach Ertz","PHI","TE5","10","38","69","53.5","15.5","33.0","-20.0"
"54","6","","Allen Robinson","CHI","WR23","6","37","74","55.5","18.5","76.0","+22.0"
"55","6","","Andrew Luck","IND","QB2","6","47","65","56.0","9.0","59.0","+4.0"
"56","6","","Royce Freeman","DEN","RB26","10","43","71","57.0","14.0","97.0","+41.0"
"57","6","","Antonio Brown","OAK","WR24","6","30","85","57.5","27.5","22.0","-35.0"
"58","6","","Deshaun Watson","HOU","QB3","10","54","64","59.0","5.0","47.0","-11.0"
"59","6","","Calvin Ridley","ATL","WR25","9","58","60","59.0","1.0","54.0","-5.0"
"60","6","","Aaron Rodgers","GB","QB4","11","59","59","59.0","0.0","51.0","-9.0"
"61","6","","James White","NE","RB27","10","56","63","59.5","3.5","68.0","+7.0"
"62","6","","Lamar Miller","HOU","RB28","10","58","62","60.0","2.0","60.0","-2.0"
"63","7","","Derrius Guice","WAS","RB29","10","54","69","61.5","7.5","65.0","+2.0"
"64","7","","Phillip Lindsay","DEN","RB30","10","53","71","62.0","9.0","42.0","-22.0"
"65","7","","D.J. Moore","CAR","WR26","7","61","65","63.0","2.0","66.0","+1.0"
"66","7","","Alshon Jeffery","PHI","WR27","10","66","66","66.0","0.0","69.0","+3.0"
"67","7","","Hunter Henry","LAC","TE6","12","60","73","66.5","6.5","70.0","+3.0"
"68","7","","Robby Anderson","NYJ","WR28","4","61","73","67.0","6.0","74.0","+6.0"
"69","7","","Baker Mayfield","CLE","QB5","7","57","80","68.5","11.5","62.0","-7.0"
"70","7","","Jarvis Landry","CLE","WR29","7","63","78","70.5","7.5","67.0","-3.0"
"71","7","","Curtis Samuel","CAR","WR30","7","50","93","71.5","21.5","103.0","+32.0"
"72","7","","Tevin Coleman","SF","RB31","4","57","91","74.0","17.0","58.0","-14.0"
"73","7","","Rashaad Penny","SEA","RB32","11","67","82","74.5","7.5","77.0","+4.0"
"74","7","","Kenyan Drake","MIA","RB33","5","55","95","75.0","20.0","55.0","-19.0"
"75","7","","Kalen Ballage","MIA","RB34","5","55","97","76.0","21.0","120.0","+45.0"
"76","7","","Matt Ryan","ATL","QB6","9","72","81","76.5","4.5","71.0","-5.0"
"77","7","","Will Fuller","HOU","WR31","10","76","82","79.0","3.0","75.0","-2.0"
"78","7","","Russell Wilson","SEA","QB7","11","67","92","79.5","12.5","89.0","+11.0"
"79","7","","Jordan Howard","PHI","RB35","10","75","86","80.5","5.5","82.0","+3.0"
"80","8","","Corey Davis","TEN","WR32","11","78","87","82.5","4.5","92.0","+12.0"
"81","8","","Marvin Jones","DET","WR33","5","79","86","82.5","3.5","88.0","+7.0"
"82","8","","LeSean McCoy","BUF","RB36","6","83","84","83.5","0.5","104.0","+22.0"
"83","8","","Vance McDonald","PIT","TE7","7","80","89","84.5","4.5","96.0","+13.0"
"84","8","","Miles Sanders","PHI","RB37","10","70","102","86.0","16.0","73.0","-11.0"
"85","8","","A.J. Green","CIN","WR34","9","72","101","86.5","14.5","48.0","-37.0"
"86","8","","Dede Westbrook","JAC","WR35","10","74","102","88.0","14.0","102.0","+16.0"
"87","8","","Dante Pettis","SF","WR36","4","87","91","89.0","2.0","80.0","-7.0"
