"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Alvin Kamara","NO","RB1","9","1","4","2.5","1.5","2.0","+1.0"
"2","1","","Ezekiel Elliott","DAL","RB2","8","2","3","2.5","0.5","4.0","+2.0"
"3","1","","Saquon Barkley","NYG","RB3","11","2","3","2.5","0.5","1.0","-2.0"
"4","1","","Christian McCaffrey","CAR","RB4","7","1","5","3.0","2.0","3.0","-1.0"
"5","2","","James Conner","PIT","RB5","7","4","12","8.0","4.0","9.0","+4.0"
"6","2","","Le'Veon Bell","NYJ","RB6","4","6","10","8.0","2.0","7.0","+1.0"
"7","2","","Travis Kelce","KC","TE1","12","8","8","8.0","0.0","19.0","+12.0"
"8","2","","David Johnson","ARI","RB7","12","5","12","8.5","3.5","6.0","-2.0"
"9","3","","Davante Adams","GB","WR1","11","9","11","10.0","1.0","8.0","-1.0"
"10","3","","Odell Beckham Jr.","CLE","WR2","7","9","11","10.0","1.0","14.0","+4.0"
"11","3","","Melvin Gordon","LAC","RB8","12","6","15","10.5","4.5","23.0","+12.0"
"12","3","","DeAndre Hopkins","HOU","WR3","10","7","17","12.0","5.0","5.0","-7.0"
"13","3","","Michael Thomas","NO","WR4","9","7","18","12.5","5.5","10.0","-3.0"
"14","3","","Joe Mixon","CIN","RB9","9","10","15","12.5","2.5","13.0","-1.0"
"15","3","","Nick Chubb","CLE","RB10","7","13","16","14.5","1.5","15.0","0.0"
"16","3","","Tyreek Hill","KC","WR5","12","14","18","16.0","2.0","17.0","+1.0"
"17","4","","Julio Jones","ATL","WR6","9","17","19","18.0","1.0","12.0","-5.0"
"18","4","","Antonio Brown","OAK","WR7","6","14","24","19.0","5.0","22.0","+4.0"
"19","4","","Dalvin Cook","MIN","RB11","12","20","20","20.0","0.0","20.0","+1.0"
"20","4","","Mike Evans","TB","WR8","7","19","22","20.5","1.5","21.0","+1.0"
"21","4","","Aaron Jones","GB","RB12","11","16","26","21.0","5.0","30.0","+9.0"
"22","4","","JuJu Smith-Schuster","PIT","WR9","7","21","21","21.0","0.0","18.0","-4.0"
