"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","1","1.0","0.0","1.0","0.0"
"2","1","","Alvin Kamara","NO","RB2","9","2","2","2.0","0.0","4.0","+2.0"
"3","1","","Christian McCaffrey","CAR","RB3","7","3","3","3.0","0.0","3.0","0.0"
"4","1","","Joe Mixon","CIN","RB4","9","4","5","4.5","0.5","13.0","+9.0"
"5","2","","David Johnson","ARI","RB5","12","6","10","8.0","2.0","8.0","+3.0"
"6","2","","Ezekiel Elliott","DAL","RB6","8","4","13","8.5","4.5","2.0","-4.0"
"7","2","","Travis Kelce","KC","TE1","12","8","9","8.5","0.5","16.0","+9.0"
"8","2","","Davante Adams","GB","WR1","11","8","11","9.5","1.5","7.0","-1.0"
"9","2","","James Conner","PIT","RB7","7","5","16","10.5","5.5","9.0","0.0"
"10","2","","Melvin Gordon","LAC","RB8","12","6","16","11.0","5.0","14.0","+4.0"
"11","2","","DeAndre Hopkins","HOU","WR2","10","11","14","12.5","1.5","5.0","-6.0"
"12","3","","Odell Beckham Jr.","CLE","WR3","7","10","17","13.5","3.5","15.0","+3.0"
"13","3","","Todd Gurley","LAR","RB9","9","13","15","14.0","1.0","12.0","-1.0"
"14","3","","Michael Thomas","NO","WR4","9","7","24","15.5","8.5","10.0","-4.0"
"15","3","","JuJu Smith-Schuster","PIT","WR5","7","14","19","16.5","2.5","17.0","+2.0"
"16","3","","Julio Jones","ATL","WR6","9","17","18","17.5","0.5","11.0","-5.0"
"17","3","","Nick Chubb","CLE","RB10","7","12","25","18.5","6.5","20.0","+3.0"
"18","4","","Tyreek Hill","KC","WR7","12","9","34","21.5","12.5","22.0","+4.0"
"19","4","","Mike Evans","TB","WR8","7","19","24","21.5","2.5","23.0","+4.0"
"20","4","","T.Y. Hilton","IND","WR9","6","21","22","21.5","0.5","27.0","+7.0"
"21","4","","Damien Williams","KC","RB11","12","7","38","22.5","15.5","24.0","+3.0"
"22","4","","Dalvin Cook","MIN","RB12","12","20","26","23.0","3.0","18.0","-4.0"
"23","4","","George Kittle","SF","TE2","4","23","23","23.0","0.0","33.0","+10.0"
"24","4","","Antonio Brown","OAK","WR10","6","18","30","24.0","6.0","21.0","-3.0"
"25","4","","Marlon Mack","IND","RB13","6","12","38","25.0","13.0","34.0","+9.0"
"26","4","","Aaron Jones","GB","RB14","11","15","36","25.5","10.5","30.0","+4.0"
"27","4","","Keenan Allen","LAC","WR11","12","22","29","25.5","3.5","28.0","+1.0"
"28","4","","Amari Cooper","DAL","WR12","8","27","30","28.5","1.5","31.0","+3.0"
"29","4","","Tyler Lockett","SEA","WR13","11","21","42","31.5","10.5","54.0","+25.0"
"30","5","","Le'Veon Bell","NYJ","RB15","4","32","33","32.5","0.5","6.0","-24.0"
"31","5","","Derrick Henry","TEN","RB16","11","32","33","32.5","0.5","36.0","+5.0"
"32","5","","Stefon Diggs","MIN","WR14","12","29","39","34.0","5.0","37.0","+5.0"
"33","5","","Adam Thielen","MIN","WR15","12","34","42","38.0","4.0","25.0","-8.0"
"34","5","","Kenny Golladay","DET","WR16","5","37","40","38.5","1.5","42.0","+8.0"
"35","5","","Robby Anderson","NYJ","WR17","4","27","52","39.5","12.5","75.0","+40.0"
"36","5","","Leonard Fournette","JAC","RB17","10","25","55","40.0","15.0","26.0","-10.0"
"37","5","","Josh Jacobs","OAK","RB18","6","20","62","41.0","21.0","38.0","+1.0"
"38","5","","Andrew Luck","IND","QB1","6","35","47","41.0","6.0","45.0","+7.0"
"39","5","","Patrick Mahomes","KC","QB2","12","35","47","41.0","6.0","19.0","-20.0"
"40","5","","Kerryon Johnson","DET","RB19","5","41","43","42.0","1.0","35.0","-5.0"
"41","5","","Cooper Kupp","LAR","WR18","9","39","48","43.5","4.5","51.0","+10.0"
"42","5","","Devonta Freeman","ATL","RB20","9","41","46","43.5","2.5","32.0","-10.0"
"43","5","","Chris Carson","SEA","RB21","11","44","44","44.0","0.0","48.0","+5.0"
"44","5","","Phillip Lindsay","DEN","RB22","10","36","54","45.0","9.0","41.0","-3.0"
"45","5","","Sterling Shepard","NYG","WR19","11","40","50","45.0","5.0","97.0","+52.0"
"46","6","","Chris Godwin","TB","WR20","7","31","61","46.0","15.0","50.0","+4.0"
"47","6","","Zach Ertz","PHI","TE3","10","28","69","48.5","20.5","29.0","-18.0"
"48","6","","A.J. Green","CIN","WR21","9","31","66","48.5","17.5","39.0","-9.0"
"49","6","","Julian Edelman","NE","WR22","10","48","49","48.5","0.5","43.0","-6.0"
"50","6","","Calvin Ridley","ATL","WR23","9","49","50","49.5","0.5","55.0","+5.0"
"51","6","","Tevin Coleman","SF","RB23","4","46","56","51.0","5.0","67.0","+16.0"
"52","6","","Brandin Cooks","LAR","WR24","9","37","66","51.5","14.5","40.0","-12.0"
"53","6","","Alshon Jeffery","PHI","WR25","10","45","60","52.5","7.5","70.0","+17.0"
"54","6","","Mark Ingram","BAL","RB24","8","51","54","52.5","1.5","46.0","-8.0"
"55","6","","D.J. Moore","CAR","WR26","7","45","61","53.0","8.0","66.0","+11.0"
"56","6","","O.J. Howard","TB","TE4","7","53","53","53.0","0.0","56.0","0.0"
"57","6","","Tarik Cohen","CHI","RB25","6","26","82","54.0","28.0","59.0","+2.0"
"58","6","","Sony Michel","NE","RB26","10","51","62","56.5","5.5","47.0","-11.0"
"59","6","","Aaron Rodgers","GB","QB3","11","57","59","58.0","1.0","53.0","-6.0"
"60","6","","Lamar Miller","HOU","RB27","10","58","58","58.0","0.0","71.0","+11.0"
"61","7","","Deshaun Watson","HOU","QB4","10","57","67","62.0","5.0","49.0","-12.0"
"62","7","","David Montgomery","CHI","RB28","6","55","71","63.0","8.0","52.0","-10.0"
"63","7","","Jordan Howard","PHI","RB29","10","56","70","63.0","7.0","82.0","+19.0"
"64","7","","Baker Mayfield","CLE","QB5","7","59","67","63.0","4.0","62.0","-2.0"
"65","7","","Evan Engram","NYG","TE5","11","28","106","67.0","39.0","58.0","-7.0"
"66","7","","Jarvis Landry","CLE","WR27","7","60","76","68.0","8.0","65.0","-1.0"
"67","7","","Matt Ryan","ATL","QB6","9","64","72","68.0","4.0","72.0","+5.0"
"68","7","","Russell Wilson","SEA","QB7","11","64","72","68.0","4.0","79.0","+11.0"
"69","7","","Kenyan Drake","MIA","RB30","5","68","68","68.0","0.0","57.0","-12.0"
"70","7","","James White","NE","RB31","10","43","95","69.0","26.0","63.0","-7.0"
"71","7","","Mike Williams","LAC","WR28","12","65","74","69.5","4.5","61.0","-10.0"
"72","7","","Robert Woods","LAR","WR29","9","63","79","71.0","8.0","44.0","-28.0"
"73","7","","David Njoku","CLE","TE6","7","69","73","71.0","2.0","88.0","+15.0"
"74","7","","Dante Pettis","SF","WR30","4","65","78","71.5","6.5","84.0","+10.0"
"75","7","","Corey Davis","TEN","WR31","11","63","85","74.0","11.0","90.0","+15.0"
"76","7","","Allen Robinson","CHI","WR32","6","52","99","75.5","23.5","74.0","-2.0"
"77","7","","Tyler Boyd","CIN","WR33","9","75","78","76.5","1.5","60.0","-17.0"
"78","7","","Carson Wentz","PHI","QB8","10","77","77","77.0","0.0","86.0","+8.0"
"79","7","","Christian Kirk","ARI","WR34","12","74","85","79.5","5.5","87.0","+8.0"
"80","7","","Eric Ebron","IND","TE7","6","81","81","81.0","0.0","68.0","-12.0"
"81","7","","Courtland Sutton","DEN","WR35","10","75","89","82.0","7.0","99.0","+18.0"
"82","7","","Rashaad Penny","SEA","RB32","11","82","83","82.5","0.5","76.0","-6.0"
"83","8","","Jared Cook","NO","TE8","9","73","97","85.0","12.0","73.0","-10.0"
"84","8","","Will Fuller","HOU","WR36","10","87","89","88.0","1.0","80.0","-4.0"
"85","8","","Anthony Miller","CHI","WR37","6","76","101","88.5","12.5","153.0","+68.0"
"86","8","","Hunter Henry","LAC","TE9","12","80","97","88.5","8.5","64.0","-22.0"
"87","8","","Drew Brees","NO","QB9","9","84","94","89.0","5.0","81.0","-6.0"
"88","8","","Latavius Murray","NO","RB33","9","70","109","89.5","19.5","92.0","+4.0"
"89","8","","Austin Ekeler","LAC","RB34","12","83","102","92.5","9.5","98.0","+9.0"
"90","8","","Cam Newton","CAR","QB10","7","92","94","93.0","1.0","85.0","-5.0"
"91","8","","Sammy Watkins","KC","WR38","12","88","101","94.5","6.5","78.0","-13.0"
"92","8","","Marvin Jones","DET","WR39","5","79","112","95.5","16.5","94.0","+2.0"
"93","8","","Royce Freeman","DEN","RB35","10","71","127","99.0","28.0","96.0","+3.0"
"94","8","","Robert Foster","BUF","WR40","6","87","113","100.0","13.0","224.0","+130.0"
"95","8","","Ito Smith","ATL","RB36","9","91","109","100.0","9.0","125.0","+30.0"
"96","8","","Jameis Winston","TB","QB11","7","84","118","101.0","17.0","111.0","+15.0"
"97","8","","Trey Burton","CHI","TE10","6","80","126","103.0","23.0","133.0","+36.0"
"98","8","","Philip Rivers","LAC","QB12","12","92","116","104.0","12.0","118.0","+20.0"
"99","8","","Ben Roethlisberger","PIT","QB13","7","98","110","104.0","6.0","106.0","+7.0"
"100","8","","Jared Goff","LAR","QB14","9","98","110","104.0","6.0","89.0","-11.0"
"101","8","","Adrian Peterson","WAS","RB37","10","86","124","105.0","19.0","134.0","+33.0"
"102","8","","Derrius Guice","WAS","RB38","10","86","124","105.0","19.0","69.0","-33.0"
"103","8","","Dede Westbrook","JAC","WR41","10","99","113","106.0","7.0","102.0","-1.0"
"104","8","","Geronimo Allison","GB","WR42","11","105","107","106.0","1.0","115.0","+11.0"
"105","8","","Golden Tate","NYG","WR43","11","93","122","107.5","14.5","112.0","+7.0"
"106","8","","Dak Prescott","DAL","QB15","8","100","115","107.5","7.5","130.0","+24.0"
"107","9","","James Washington","PIT","WR44","7","88","128","108.0","20.0","119.0","+12.0"
"108","9","","LeSean McCoy","BUF","RB39","6","90","127","108.5","18.5","100.0","-8.0"
"109","9","","Keke Coutee","HOU","WR45","10","108","111","109.5","1.5","131.0","+22.0"
"110","9","","N'Keal Harry","NE","WR46","10","108","111","109.5","1.5","105.0","-5.0"
"111","9","","Miles Sanders","PHI","RB40","10","91","133","112.0","21.0","77.0","-34.0"
"112","9","","Curtis Samuel","CAR","WR47","7","96","128","112.0","16.0","122.0","+10.0"
"113","9","","Ronald Jones II","TB","RB41","7","95","135","115.0","20.0","104.0","-9.0"
"114","9","","Darrell Henderson","LAR","RB42","9","90","144","117.0","27.0","83.0","-31.0"
"115","9","","Larry Fitzgerald","ARI","WR48","12","103","132","117.5","14.5","101.0","-14.0"
"116","9","","Kyler Murray","ARI","QB16","12","115","121","118.0","3.0","103.0","-13.0"
"117","9","","Marquez Valdes-Scantling","GB","WR49","11","103","134","118.5","15.5","136.0","+19.0"
"118","9","","Mitch Trubisky","CHI","QB17","6","116","121","118.5","2.5","138.0","+20.0"
"119","9","","Emmanuel Sanders","DEN","WR50","10","93","146","119.5","26.5","113.0","-6.0"
"120","9","","Kirk Cousins","MIN","QB18","12","100","140","120.0","20.0","142.0","+22.0"
"121","9","","Austin Hooper","ATL","TE11","9","120","120","120.0","0.0","120.0","-1.0"
"122","9","","Vance McDonald","PIT","TE12","7","114","131","122.5","8.5","91.0","-31.0"
"123","9","","Chris Herndon IV","NYJ","TE13","4","114","131","122.5","8.5","190.0","+67.0"
"124","9","","Tyrell Williams","OAK","WR51","6","96","151","123.5","27.5","147.0","+23.0"
"125","9","","Devin Funchess","IND","WR52","6","122","125","123.5","1.5","145.0","+20.0"
"126","9","","Dion Lewis","TEN","RB43","11","104","144","124.0","20.0","127.0","+1.0"
"127","9","","Matt Breida","SF","RB44","4","117","136","126.5","9.5","144.0","+17.0"
"128","9","","Michael Gallup","DAL","WR53","8","112","146","129.0","17.0","162.0","+34.0"
"129","9","","John Brown","BUF","WR54","6","130","132","131.0","1.0","179.0","+50.0"
"130","9","","Nyheim Hines","IND","RB45","6","117","148","132.5","15.5","158.0","+28.0"
"131","9","","Tom Brady","NE","QB19","10","123","142","132.5","9.5","114.0","-17.0"
"132","9","","Jack Doyle","IND","TE14","6","126","139","132.5","6.5","181.0","+49.0"
"133","9","","DaeSean Hamilton","DEN","WR55","10","125","145","135.0","10.0","208.0","+75.0"
"134","9","","DeSean Jackson","PHI","WR56","10","105","166","135.5","30.5","137.0","+3.0"
"135","9","","Josh Allen","BUF","QB20","6","123","150","136.5","13.5","156.0","+21.0"
"136","10","","Delanie Walker","TEN","TE15","11","138","138","138.0","0.0","139.0","+3.0"
"137","10","","Kalen Ballage","MIA","RB46","5","102","177","139.5","37.5","149.0","+12.0"
"138","10","","Kenny Stills","MIA","WR57","5","130","151","140.5","10.5","186.0","+48.0"
"139","10","","Jerick McKinnon","SF","RB47","4","133","148","140.5","7.5","107.0","-32.0"
"140","10","","Chicago (CHI)","","DST1","6","141","141","141.0","0.0","93.0","-47.0"
"141","10","","Carlos Hyde","KC","RB48","12","129","156","142.5","13.5","124.0","-17.0"
"142","10","","Jimmy Garoppolo","SF","QB21","4","142","143","142.5","0.5","141.0","-1.0"
"143","10","","Tre'Quan Smith","NO","WR58","9","107","181","144.0","37.0","196.0","+53.0"
"144","10","","Greg Olsen","CAR","TE16","7","106","185","145.5","39.5","151.0","+7.0"
"145","10","","Damien Harris","NE","RB49","10","129","162","145.5","16.5","132.0","-13.0"
"146","10","","Sam Darnold","NYJ","QB22","4","143","150","146.5","3.5","220.0","+74.0"
"147","10","","Peyton Barber","TB","RB50","7","136","159","147.5","11.5","109.0","-38.0"
"148","10","","Lamar Jackson","BAL","QB23","8","118","180","149.0","31.0","121.0","-27.0"
"149","10","","Jimmy Graham","GB","TE17","11","147","152","149.5","2.5","157.0","+8.0"
"150","10","","Jordan Reed","WAS","TE18","10","147","152","149.5","2.5","150.0","0.0"
"151","10","","Derek Carr","OAK","QB24","6","140","167","153.5","13.5","170.0","+19.0"
"152","10","","Kyle Rudolph","MIN","TE19","12","139","169","154.0","15.0","177.0","+25.0"
"153","10","","Mecole Hardman","KC","WR59","12","158","159","158.5","0.5","184.0","+31.0"
"154","10","","Jacksonville (JAC)","","DST2","10","155","163","159.0","4.0","126.0","-28.0"
"155","10","","Jamison Crowder","NYJ","WR60","4","158","161","159.5","1.5","211.0","+56.0"
"156","10","","Marquise Goodwin","SF","WR61","4","149","172","160.5","11.5","169.0","+13.0"
"157","10","","T.J. Yeldon","BUF","RB51","6","153","170","161.5","8.5","217.0","+60.0"
"158","10","","Matthew Stafford","DET","QB25","5","164","165","164.5","0.5","172.0","+14.0"
"159","10","","Dallas Goedert","PHI","TE20","10","162","171","166.5","4.5","199.0","+40.0"
"160","10","","C.J. Anderson","DET","RB52","5","135","199","167.0","32.0","178.0","+18.0"
"161","10","","Adam Humphries","TEN","WR62","11","160","174","167.0","7.0","223.0","+62.0"
"162","10","","Los Angeles (LAR)","","DST3","9","155","181","168.0","13.0","108.0","-54.0"
"163","10","","Deebo Samuel","SF","WR63","4","134","205","169.5","35.5","198.0","+35.0"
"164","11","","Cleveland (CLE)","","DST4","7","164","179","171.5","7.5","173.0","+9.0"
"165","11","","Parris Campbell","IND","WR64","6","154","190","172.0","18.0","146.0","-19.0"
"166","11","","Houston (HOU)","","DST5","10","169","175","172.0","3.0","152.0","-14.0"
"167","11","","D'Onta Foreman","FA","RB53","","137","208","172.5","35.5","129.0","-38.0"
"168","11","","Antonio Callaway","CLE","WR65","7","149","196","172.5","23.5","214.0","+46.0"
"169","11","","Baltimore (BAL)","","DST6","8","168","177","172.5","4.5","116.0","-53.0"
"170","11","","T.J. Hockenson","DET","TE21","5","163","183","173.0","10.0","123.0","-47.0"
"171","11","","Andy Dalton","CIN","QB26","9","168","178","173.0","5.0","239.0","+68.0"
"172","11","","Quincy Enunwa","NYJ","WR66","4","170","176","173.0","3.0","273.0","+101.0"
"173","11","","Minnesota (MIN)","","DST7","12","172","175","173.5","1.5","128.0","-45.0"
"174","11","","Los Angeles (LAC)","","DST8","12","173","174","173.5","0.5","140.0","-34.0"
"175","11","","Jaylen Samuels","PIT","RB54","7","104","248","176.0","72.0","143.0","-32.0"
"176","11","","Chris Thompson","WAS","RB55","10","167","185","176.0","9.0","201.0","+25.0"
"177","11","","Albert Wilson","MIA","WR67","5","171","184","177.5","6.5","212.0","+35.0"
"178","11","","Gus Edwards","BAL","RB56","8","119","243","181.0","62.0","233.0","+55.0"
"179","11","","Greg Zuerlein","LAR","K1","9","180","182","181.0","1.0","117.0","-62.0"
"180","11","","Marqise Lee","JAC","WR68","10","182","183","182.5","0.5","218.0","+38.0"
"181","11","","Mohamed Sanu","ATL","WR69","9","165","202","183.5","18.5","200.0","+19.0"
"182","11","","Noah Fant","DEN","TE22","10","178","191","184.5","6.5","176.0","-6.0"
"183","11","","Kareem Hunt","CLE","RB57","7","156","221","188.5","32.5","95.0","-88.0"
"184","11","","Devante Parker","MIA","WR70","5","160","217","188.5","28.5","194.0","+10.0"
"185","11","","John Ross","CIN","WR71","9","173","207","190.0","17.0","267.0","+82.0"
"186","11","","Mark Andrews","BAL","TE23","8","176","205","190.5","14.5","163.0","-23.0"
"187","11","","Devin Singletary","BUF","RB58","6","187","194","190.5","3.5","155.0","-32.0"
"188","11","","Frank Gore","BUF","RB59","6","153","230","191.5","38.5","258.0","+70.0"
"189","11","","Zay Jones","BUF","WR72","6","191","195","193.0","2.0","206.0","+17.0"
"190","11","","Justin Tucker","BAL","K2","8","192","194","193.0","1.0","135.0","-55.0"
"191","11","","David Moore","SEA","WR73","11","189","199","194.0","5.0","277.0","+86.0"
"192","11","","Justice Hill","BAL","RB60","8","119","272","195.5","76.5","167.0","-25.0"
"193","11","","Donte Moncrief","PIT","WR74","7","154","239","196.5","42.5","165.0","-28.0"
"194","11","","Mike Gesicki","MIA","TE24","5","184","211","197.5","13.5","234.0","+40.0"
"195","11","","Jalen Richard","OAK","RB61","6","186","210","198.0","12.0","207.0","+12.0"
"196","11","","Gerald Everett","LAR","TE25","9","193","203","198.0","5.0","261.0","+65.0"
"197","11","","Harrison Butker","KC","K3","12","193","203","198.0","5.0","148.0","-49.0"
"198","11","","Stephen Gostkowski","NE","K4","10","195","201","198.0","3.0","154.0","-44.0"
"199","11","","Duke Johnson","CLE","RB62","7","166","232","199.0","33.0","168.0","-31.0"
"200","11","","Justin Jackson","LAC","RB63","12","137","263","200.0","63.0","197.0","-3.0"
"201","11","","Marquise Brown","BAL","WR75","8","200","209","204.5","4.5","159.0","-42.0"
"202","11","","Taylor Gabriel","CHI","WR76","6","204","207","205.5","1.5","249.0","+47.0"
"203","11","","New Orleans (NO)","","DST9","9","198","214","206.0","8.0","174.0","-29.0"
"204","11","","Jamaal Williams","GB","RB64","11","196","217","206.5","10.5","175.0","-29.0"
"205","11","","D.K. Metcalf","SEA","WR77","11","145","269","207.0","62.0","110.0","-95.0"
"206","11","","Denver (DEN)","","DST10","10","202","213","207.5","5.5","166.0","-40.0"
